solr_name,rdf_name,user_friendly_name,display_name
RDF_type_tesim,rdf:type,RDF_type,
Alveo_display_document_tesim,Alveo_display_document,
AUSNC_audience_facet,ausnc:audience,audience,
AUSNC_communication_context_facet,ausnc:communication_context,communication_context,
AUSNC_document_tesim,ausnc:document,document,
AUSNC_interactivity_facet,ausnc:interactivity,interactivity,
AUSNC_mode_facet,ausnc:mode,mode,
AUSNC_speech_style_facet,ausnc:speech_style,speech_style,
AUSTALK_cameraSN0_tesim,austalk:cameraSN0,cameraSN0,
AUSTALK_cameraSN1_tesim,austalk:cameraSN1,cameraSN1,
AUSTALK_component_tesim,austalk:component,component,
AUSTALK_componentName_tesim,austalk:componentName,componentName,
AUSTALK_prompt_tesim,austalk:prompt,prompt,
AUSTALK_prototype_tesim,austalk:prototype,prototype,
AUSTALK_session_tesim,austalk:session,session,
AUSTALK_version_tesim,austalk:version,version,
DC_created_tesim,dc:created,created,
DC_identifier_tesim,dc:identifier,identifier,
collection_name_facet,dc:isPartOf,collection_name,
OLAC_speaker_tesim,olac:speaker,speaker,
DC_type_facet,dc:type,type,
DC_extent_tesim,dc:extent,extent,
date_group_facet,date_group,
AUSNC_publication_status_facet,publication_status,
AUSNC_written_mode_facet,written_mode,
AUSNC_communication_medium_facet,communication_medium,
AUSNC_communication_setting_facet,communication_setting,
OLAC_discourse_type_facet,discourse_type,
OLAC_language_facet,language,
DC_title_tesim,dc11:title,title,